name,light_years_from_earth,plante_mass,stellar_magnitude,decovery_date
Kepler-52 c,1049,0.14284 Jupiters,15.513,2012
Kepler-226 c,3197,0.142 Jupiters,15.563,2014
Kepler-952 b,4254,0.143 Jupiters,15.323,2016
Kepler-118 c,1873,0.144 Jupiters,14.867,2014
Kepler-489 b,1206,0.145 Jupiters,14.221,2016
OGLE-2012-BLG-0026L b,13110,0.145 Jupiters,20.66,2012
WASP-182 b,1069,0.148 Jupiters,11.98,2019
K2-11 b,1074,0.14 Jupiters,13.409,2015
Kepler-326 b,1591,0.14 Jupiters,13.734,2014
HIP 38594 c,58,0.15228 Jupiters,9.75,2020
Kepler-1656 b,606,0.15291 Jupiters,11.64,2018
Kepler-297 b,2258,0.153 Jupiters,14.326,2014
Kepler-279 c,3384,0.155 Jupiters,13.647,2013
Kepler-1583 b,1318,0.156 Earths,12.976,2016
HD 177830 c,205,0.15 Jupiters,7.18,2010
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
Kepler-703 b,3774,0.161 Jupiters,15.599,2016
HD 27894 c,143,0.162 Jupiters,9.36,2017
WASP-127 b,520,0.1647 Jupiters,10.148,2016
Kepler-1087 b,1183,0.165 Earths,12.973,2016
Kepler-58 c,3162,0.16676 Jupiters,15.086,2012
Kepler-855 b,4914,0.166 Jupiters,15.157,2016
K2-127 b,2316,0.167 Jupiters,15.041,2017
OGLE-2012-BLG-0838L b,20616,0.167 Jupiters,,2020
Kepler-628 b,2929,0.168 Jupiters,13.138,2016
Kepler-720 b,3475,0.168 Jupiters,15.462,2016
HD 34445 c,150,0.168 Jupiters,7.31,2017
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
Kepler-462 b,1946,0.16959 Jupiters,11.632,2016
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
K2-281 b,1494,0.16 Jupiters,15.048,2018
HD 104067 b,66,0.16 Jupiters,7.92,2009
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
Kepler-628 b,2929,0.168 Jupiters,13.138,2016
Kepler-720 b,3475,0.168 Jupiters,15.462,2016
HD 34445 c,150,0.168 Jupiters,7.31,2017
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
Kepler-462 b,1946,0.16959 Jupiters,11.632,2016
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
K2-281 b,1494,0.16 Jupiters,15.048,2018
HD 104067 b,66,0.16 Jupiters,7.92,2009
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
Kepler-628 b,2929,0.168 Jupiters,13.138,2016
Kepler-720 b,3475,0.168 Jupiters,15.462,2016
HD 34445 c,150,0.168 Jupiters,7.31,2017
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
Kepler-462 b,1946,0.16959 Jupiters,11.632,2016
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
K2-281 b,1494,0.16 Jupiters,15.048,2018
HD 104067 b,66,0.16 Jupiters,7.92,2009
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
Kepler-628 b,2929,0.168 Jupiters,13.138,2016
Kepler-720 b,3475,0.168 Jupiters,15.462,2016
HD 34445 c,150,0.168 Jupiters,7.31,2017
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
Kepler-462 b,1946,0.16959 Jupiters,11.632,2016
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
K2-281 b,1494,0.16 Jupiters,15.048,2018
HD 104067 b,66,0.16 Jupiters,7.92,2009
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
Kepler-628 b,2929,0.168 Jupiters,13.138,2016
Kepler-720 b,3475,0.168 Jupiters,15.462,2016
HD 34445 c,150,0.168 Jupiters,7.31,2017
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
Kepler-462 b,1946,0.16959 Jupiters,11.632,2016
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-101 b,3027,0.16 Jupiters,13.7,2014
K2-281 b,1494,0.16 Jupiters,15.048,2018
HD 104067 b,66,0.16 Jupiters,7.92,2009
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
KELT-11 b,323,0.171 Jupiters,8.04,2017
Kepler-719 b,8147,0.172 Jupiters,16.128,2016
WASP-18 c,403,0.17368 Jupiters,9.28,2019
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HD 3765 b,58,0.173 Jupiters,7.36,2021
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
OGLE-2014-BLG-1722L b,20877,0.174 Jupiters,,2018
HD 117618 b,123,0.174 Jupiters,7.17,2004
TOI-954 b,779,0.174 Jupiters,10.343,2020
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
KELT-11 b,323,0.171 Jupiters,8.04,2017
Kepler-719 b,8147,0.172 Jupiters,16.128,2016
WASP-18 c,403,0.17368 Jupiters,9.28,2019
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HD 3765 b,58,0.173 Jupiters,7.36,2021
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
OGLE-2014-BLG-1722L b,20877,0.174 Jupiters,,2018
HD 117618 b,123,0.174 Jupiters,7.17,2004
TOI-954 b,779,0.174 Jupiters,10.343,2020
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
KELT-11 b,323,0.171 Jupiters,8.04,2017
Kepler-719 b,8147,0.172 Jupiters,16.128,2016
WASP-18 c,403,0.17368 Jupiters,9.28,2019
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HD 3765 b,58,0.173 Jupiters,7.36,2021
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
OGLE-2014-BLG-1722L b,20877,0.174 Jupiters,,2018
HD 117618 b,123,0.174 Jupiters,7.17,2004
TOI-954 b,779,0.174 Jupiters,10.343,2020
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
Kepler-702 b,3236,0.194 Jupiters,15.437,2016
Kepler-1371 c,1681,0.196 Earths,14.018,2016
Kepler-695 b,2750,0.196 Jupiters,15.262,2016
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
Kepler-856 b,4408,0.199 Jupiters,15.594,2016
OGLE-2011-BLG-0173L b,19898,0.19 Jupiters,,2018
HD 221416 b,312,0.19 Jupiters,8.15,2019
KMT-2018-BLG-0748L b,23813,0.19 Jupiters,,2020
Kepler-444 e,119,0.1 Earths,8.87,2015
WASP-126 c,706,0.20199 Jupiters,10.994,2019
Kepler-702 b,3236,0.194 Jupiters,15.437,2016
Kepler-1371 c,1681,0.196 Earths,14.018,2016
Kepler-695 b,2750,0.196 Jupiters,15.262,2016
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
Kepler-856 b,4408,0.199 Jupiters,15.594,2016
OGLE-2011-BLG-0173L b,19898,0.19 Jupiters,,2018
HD 221416 b,312,0.19 Jupiters,8.15,2019
KMT-2018-BLG-0748L b,23813,0.19 Jupiters,,2020
Kepler-444 e,119,0.1 Earths,8.87,2015
WASP-126 c,706,0.20199 Jupiters,10.994,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 24040 c,152,0.201 Jupiters,7.515,2021
Kepler-92 b,1559,0.202 Jupiters,11.671,2013
Kepler-277 c,3186,0.202 Jupiters,13.544,2013
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 21411 b,95,0.20734 Jupiters,7.88,2019
Kepler-1542 c,1302,0.208 Earths,12.734,2016
Kepler-1351 b,661,0.208 Earths,14.328,2016
Kepler-1515 b,1759,0.208 Jupiters,12.1,2016
NGTS-12 b,1456,0.208 Jupiters,12.382,2020
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 76700 b,199,0.21 Jupiters,8.16,2002
HD 107148 b,161,0.21 Jupiters,8.01,2005
K2-308 b,4288,0.222 Jupiters,15.072,2019
KOI-1783.01,2824,0.22339 Jupiters,13.978,2020
K2-261 b,696,0.223 Jupiters,10.612,2018
GJ 9066 c,15,0.22528 Jupiters,12.71,2020
Kepler-25 d,793,0.226 Jupiters,10.769,2014
HD 46375 b,96,0.226 Jupiters,7.91,2000
HD 3651 b,36,0.228 Jupiters,5.88437,2003
HIP 67522 b,415,0.228 Jupiters,9.79,2020
Kepler-431 c,1587,0.229 Earths,12.139,2015
NGTS-5 b,1001,0.229 Jupiters,13.789,2019
Kepler-55 c,1888,0.22 Jupiters,15.746,2012
CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
Kepler-34 b,5874,0.22 Jupiters,15.087,2011
Kepler-167 e,1115,0.231 Jupiters,14.284,2016
Kepler-693 b,3756,0.232 Jupiters,16.7286,2016
HIP 41378 f,347,0.233 Jupiters,8.93,2016
Kepler-816 b,3209,0.234 Jupiters,16.365,2016
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
HATS-5 b,804,0.237 Jupiters,12.598,2014
HD 126525 b,123,0.237 Jupiters,7.85,2018
Kepler-396 b,730,0.238 Jupiters,12.259,2013
WASP-29 b,286,0.23 Jupiters,11.331,2010
HD 204941 b,94,0.23 Jupiters,8.45,2011
Kepler-807 b,4870,0.242 Jupiters,15.194,2016
HATS-48 A b,860,0.243 Jupiters,14.226,2020
Kepler-1558 b,1063,0.244 Earths,13.809,2016
HD 332231 b,263,0.244 Jupiters,8.558,2020
Kepler-272 b,2902,0.245 Jupiters,14.811,2014
HATS-5 b,804,0.237 Jupiters,12.598,2014
HD 126525 b,123,0.237 Jupiters,7.85,2018
Kepler-396 b,730,0.238 Jupiters,12.259,2013
WASP-29 b,286,0.23 Jupiters,11.331,2010
HD 204941 b,94,0.23 Jupiters,8.45,2011
Kepler-807 b,4870,0.242 Jupiters,15.194,2016
HATS-48 A b,860,0.243 Jupiters,14.226,2020
Kepler-1558 b,1063,0.244 Earths,13.809,2016
HD 332231 b,263,0.244 Jupiters,8.558,2020
Kepler-272 b,2902,0.245 Jupiters,14.811,2014
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HD 108147 b,127,0.261 Jupiters,6.99,2002
OGLE-2014-BLG-1722L c,20877,0.263 Jupiters,,2018
Kepler-486 b,1423,0.265 Jupiters,14.615,2016
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
EPIC 201497682 b,825,0.26 Earths,13.948,2019
Kepler-170 b,2409,0.26 Jupiters,14.344,2014
HD 16141 b,123,0.26 Jupiters,6.834,2000
XO-2 S b,494,0.26 Jupiters,11.196,2014
K2-329 b,761,0.26 Jupiters,12.697,2020
Kepler-1349 b,901,0.271 Earths,11.209,2016
Kepler-378 c,496,0.271 Earths,12.619,2014
Kepler-277 b,3186,0.275 Jupiters,13.544,2013
WASP-147 b,1423,0.275 Jupiters,12.681,2018
WASP-160 B b,941,0.278 Jupiters,13.04,2018
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
WASP-131 b,653,0.27 Jupiters,10.068,2016
OGLE-2006-BLG-109L c,4926,0.27 Jupiters,,2008
MOA-2010-BLG-353L b,20975,0.27 Jupiters,,2015
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 7199 b,118,0.27 Jupiters,8.06,2011
HD 168746 b,136,0.27 Jupiters,7.95,2002
WASP-126 b,706,0.28411 Jupiters,10.994,2016
Kepler-1339 b,1210,0.285 Earths,12.344,2016
WASP-39 b,698,0.28 Jupiters,12.095,2011
K2-266 c,253,0.29013 Earths,11.625,2018
WASP-148 b,804,0.291 Jupiters,12.036,2020
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
Kepler-349 b,3069,0.297 Jupiters,14.915,2014
Kepler-1559 b,2006,0.299 Earths,14.549,2016
WASP-181 b,1427,0.299 Jupiters,12.924,2019
WASP-69 b,163,0.29 Jupiters,9.873,2014
Kepler-427 b,3320,0.29 Jupiters,14.301,2014
OGLE-2013-BLG-0132L b,12722,0.29 Jupiters,,2017
Kepler-444 d,119,0.2 Earths,8.87,2015
HD 218566 b,94,0.2 Jupiters,8.6,2010
HD 137388 b,132,0.2 Jupiters,8.71,2011
HD 220197 b,210,0.2 Jupiters,8.92,2018
GJ 1148 b,36,0.30425 Jupiters,11.939,2010
Kepler-272 c,2902,0.308 Jupiters,14.811,2014
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
WASP-20 b,691,0.311 Jupiters,10.675,2015
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020
Kepler-42 c,131,0.315 Earths,16.7,2011
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
K2-287 b,516,0.315 Jupiters,11.41,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
WASP-151 b,1478,0.31 Jupiters,12.821,2017
Kepler-240 c,2436,0.322 Jupiters,15.953,2014
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
WASP-20 b,691,0.311 Jupiters,10.675,2015
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020
Kepler-42 c,131,0.315 Earths,16.7,2011
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
K2-287 b,516,0.315 Jupiters,11.41,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
WASP-151 b,1478,0.31 Jupiters,12.821,2017
Kepler-240 c,2436,0.322 Jupiters,15.953,2014
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
WASP-20 b,691,0.311 Jupiters,10.675,2015
Kepler-160 d,3057,0.31463 Jupiters,14.816,2020
Kepler-42 c,131,0.315 Earths,16.7,2011
Kepler-1371 b,1681,0.315 Earths,14.018,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
K2-287 b,516,0.315 Jupiters,11.41,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
WASP-151 b,1478,0.31 Jupiters,12.821,2017
Kepler-240 c,2436,0.322 Jupiters,15.953,2014
TRAPPIST-1 h,41,0.326 Earths,17.02,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
HD 33283 b,293,0.329 Jupiters,8.05,2006
NGC 2682 YBP 1194 b,2847,0.32 Jupiters,14.569,2014
Kepler-444 f,119,0.332 Earths,8.87,2015
Kepler-16 b,245,0.333 Jupiters,12.144,2011
KOI-94 d,1556,0.334 Jupiters,12.314,2013
K2-295 b,759,0.335 Jupiters,13.8941,2018
Kepler-125 c,598,0.33 Earths,15.431,2014
HD 564 b,167,0.33 Jupiters,8.32,2014
TRAPPIST-1 h,41,0.326 Earths,17.02,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
HD 33283 b,293,0.329 Jupiters,8.05,2006
NGC 2682 YBP 1194 b,2847,0.32 Jupiters,14.569,2014
Kepler-444 f,119,0.332 Earths,8.87,2015
Kepler-16 b,245,0.333 Jupiters,12.144,2011
KOI-94 d,1556,0.334 Jupiters,12.314,2013
K2-295 b,759,0.335 Jupiters,13.8941,2018
Kepler-125 c,598,0.33 Earths,15.431,2014
HD 564 b,167,0.33 Jupiters,8.32,2014
HD 215497 c,132,0.33 Jupiters,8.96,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
NGTS-11 b,621,0.344 Jupiters,12.456,2020
Kepler-317 b,3068,0.345 Jupiters,15.665,2014
Kepler-1563 b,2012,0.347 Earths,13.696,2016
Kepler-378 b,496,0.347 Earths,12.619,2014
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
Kepler-53 b,4456,0.34925 Jupiters,15.367,2012
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
Kepler-426 b,2752,0.34 Jupiters,15.032,2014
HD 83443 b,133,0.34 Jupiters,8.23,2002
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 47186 c,122,0.35061 Jupiters,7.63,2008
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 102843 b,205,0.35837 Jupiters,9.26,2019
Kepler-57 b,2101,0.36183 Jupiters,15.017,2012
Kepler-1619 b,2397,0.363 Earths,13.438,2016
Kepler-1542 e,1302,0.363 Earths,12.734,2016
HD 83443 b,133,0.34 Jupiters,8.23,2002
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 47186 c,122,0.35061 Jupiters,7.63,2008
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 102843 b,205,0.35837 Jupiters,9.26,2019
Kepler-57 b,2101,0.36183 Jupiters,15.017,2012
Kepler-1619 b,2397,0.363 Earths,13.438,2016
Kepler-1542 e,1302,0.363 Earths,12.734,2016
HD 83443 b,133,0.34 Jupiters,8.23,2002
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 47186 c,122,0.35061 Jupiters,7.63,2008
